document_id,external_id,cnj_raw,cnj_normalized,tribunal_sigla,provenance,changed_after_justification
6a874158-fcf2-42ae-b335-1cf2dbf7f715,NATJUS-FEDERAL-1025-2021,5006129-93.2021.4.02.5112,5006129-93.2021.4.02.5112,TRF2,consenso,false
d4bffe92-f681-4176-9e73-236fd16c971e,NATJUS-FEDERAL-1265-2025,5002183-95.2025.4.02.5105,5002183-95.2025.4.02.5105,TRF2,consenso,false
ab450315-f212-4b7f-80f5-5d5b9ea187bd,NATJUS-FEDERAL-1093-2022,5075324-67.2022.4.02.5101,5075324-67.2022.4.02.5101,TRF2,consenso,false
c6495341-3e87-4569-bbd4-a00fe5497723,NATJUS-FEDERAL-1110-2025,5076113-61.2025.4.02.5101,5076113-61.2025.4.02.5101,TRF2,consenso,false
07412ea9-387e-4318-a63e-11c0d6811982,NATJUS-FEDERAL-1506-2025,5010844-24.2025.4.02.5118,5010844-24.2025.4.02.5118,TRF2,consenso,false
1fad1f0f-8f58-4ffa-896d-b6160aa9d3e3,NATJUS-FEDERAL-0071-2020,5065196-90.2019.4.02.5101,5065196-90.2019.4.02.5101,TRF2,consenso,false
b50ad2ed-d364-42ff-ac34-9c2a6729ce22,NATJUS-FEDERAL-0272-2022,5000091-44.2022.4.02.5140,5000091-44.2022.4.02.5140,TRF2,consenso,false
7647c510-f51d-4518-9e90-da0aabc12786,NATJUS-FEDERAL-0736-2020,5004826-08.2020.4.02.5103,5004826-08.2020.4.02.5103,TRF2,consenso,false
8ed5a0d3-2273-4ac3-bcbf-a5d7b307a721,NATJUS-FEDERAL-0148-2023,5000450-71.2023.4.02.5103,5000450-71.2023.4.02.5103,TRF2,consenso,false
dece8224-0257-46a7-a8af-16a5d714b317,NATJUS-FEDERAL-0444-2022,5005120-44.2022.4.02.5118,5005120-44.2022.4.02.5118,TRF2,consenso,false
186e7df9-518f-4595-b528-29314fc808fb,NATJUS-FEDERAL-1616-2023,5109584-39.2023.4.02.5101,5109584-39.2023.4.02.5101,TRF2,consenso,false
7ea9d4ac-38e1-43b0-964a-c728c08ea70c,NATJUS-FEDERAL-0756-2020,5001927-31.2020.4.02.5105,5001927-31.2020.4.02.5105,TRF2,consenso,false
